Order ID,Gender,Age,Quantity,Category,Channel,Shipping city state,Status,Size,Date,Month,Amount
100001,Women,30,1,Top,Amazon,Telangana,Delivered,L,2022-01-01 00:00:00,January,1076.870701137454
100002,Men,44,2,Ethnic Dress,Myntra,Karnataka,Delivered,S,2022-01-01 01:00:00,January,2137.367118216309
100003,Men,55,1,Top,Amazon,Karnataka,Delivered,S,2022-01-01 02:00:00,January,906.5592396612304
100004,Women,50,1,Ethnic Dress,Amazon,Telangana,Delivered,S,2022-01-01 03:00:00,January,1755.9310325745064
100005,Women,23,1,Top,Myntra,Karnataka,Refunded,S,2022-01-01 04:00:00,January,842.2282400308471
100006,Women,30,1,Set,Ajio,Uttar Pradesh,Delivered,L,2022-01-01 05:00:00,January,1358.288076469968
100007,Women,30,1,Set,Myntra,Karnataka,Delivered,L,2022-01-01 06:00:00,January,1258.2275826836458
100008,Men,30,1,Set,Myntra,Maharashtra,Delivered,S,2022-01-01 07:00:00,January,1312.0552814499094
100009,Women,37,1,Set,Ajio,Karnataka,Delivered,L,2022-01-01 08:00:00,January,1436.5171643106517
100010,Men,53,2,Kurta,Amazon,Telangana,Delivered,XL,2022-01-01 09:00:00,January,1532.104696061327
100011,Women,54,3,Top,Myntra,Uttar Pradesh,Delivered,L,2022-01-01 10:00:00,January,1546.6749449563836
100012,Men,62,1,Kurta,Amazon,Telangana,Delivered,L,2022-01-01 11:00:00,January,1382.956742875371
100013,Men,26,1,Western Dress,Myntra,Karnataka,Delivered,S,2022-01-01 12:00:00,January,1082.335596773266
100014,Women,34,4,Blouse,Amazon,Telangana,Returned,XL,2022-01-01 13:00:00,January,2017.107252292658
100015,Women,52,2,Set,Ajio,Karnataka,Delivered,M,2022-01-01 14:00:00,January,1735.60415573991
100016,Women,69,2,Set,Ajio,Uttar Pradesh,Delivered,M,2022-01-01 15:00:00,January,1674.8789978584982
100017,Women,35,1,Saree,Ajio,Tamil Nadu,Delivered,XL,2022-01-01 16:00:00,January,1345.935659239156
100018,Women,42,2,Set,Amazon,Telangana,Delivered,S,2022-01-01 17:00:00,January,1791.7670238368123
100019,Women,32,2,Set,Ajio,Telangana,Delivered,XL,2022-01-01 18:00:00,January,1575.1165217267219
100020,Women,40,1,Set,Myntra,Karnataka,Delivered,M,2022-01-01 19:00:00,January,1457.2537110879543
100021,Women,18,1,Set,Amazon,Uttar Pradesh,Delivered,L,2022-01-01 20:00:00,January,1419.191427057057
